Latitude (decimal degrees):	42.359
Longitude (decimal degrees):	-71.057
Radiation database:	PVGIS-NSRDB
Optimal slope angle (deg.):	38

year		month		H(i_opt)_m
2005		Jan		96.53
2005		Feb		123.09
2005		Mar		160.1
2005		Apr		171.66
2005		May		134.32
2005		Jun		167.67
2005		Jul		185.01
2005		Aug		180.69
2005		Sep		170.75
2005		Oct		110.84
2005		Nov		108.17
2005		Dec		100.49
2006		Jan		92.81
2006		Feb		132.8
2006		Mar		171.83
2006		Apr		165.56
2006		May		147.38
2006		Jun		140.96
2006		Jul		179.82
2006		Aug		180.03
2006		Sep		153.08
2006		Oct		144.05
2006		Nov		88.02
2006		Dec		89.73
2007		Jan		104.54
2007		Feb		137.72
2007		Mar		161.4
2007		Apr		132.03
2007		May		187.7
2007		Jun		168.56
2007		Jul		177.15
2007		Aug		183.32
2007		Sep		184.21
2007		Oct		132.19
2007		Nov		102.81
2007		Dec		66.45
2008		Jan		104.06
2008		Feb		100.99
2008		Mar		146.19
2008		Apr		167.98
2008		May		176.17
2008		Jun		157.48
2008		Jul		183.08
2008		Aug		176.97
2008		Sep		152.57
2008		Oct		150.08
2008		Nov		98.88
2008		Dec		79.56
2009		Jan		115.66
2009		Feb		131.17
2009		Mar		157.21
2009		Apr		165.18
2009		May		156.22
2009		Jun		123.12
2009		Jul		159.62
2009		Aug		179.08
2009		Sep		165.87
2009		Oct		114.54
2009		Nov		96.29
2009		Dec		94.27
2010		Jan		107.4
2010		Feb		105.86
2010		Mar		132.49
2010		Apr		160.98
2010		May		199.23
2010		Jun		165.31
2010		Jul		192.53
2010		Aug		175.98
2010		Sep		158.19
2010		Oct		133.06
2010		Nov		100.34
2010		Dec		93.18
2011		Jan		102.05
2011		Feb		115.56
2011		Mar		151.32
2011		Apr		139.72
2011		May		151.58
2011		Jun		167.41
2011		Jul		190.97
2011		Aug		171.75
2011		Sep		153.45
2011		Oct		132.56
2011		Nov		119.78
2011		Dec		102.66
2012		Jan		120.34
2012		Feb		131.52
2012		Mar		153.83
2012		Apr		187.55
2012		May		153.91
2012		Jun		166.29
2012		Jul		186.49
2012		Aug		194.4
2012		Sep		98.21
2012		Oct		118.69
2012		Nov		120.56
2012		Dec		80.11
2013		Jan		113.2
2013		Feb		108.63
2013		Mar		139.36
2013		Apr		185.11
2013		May		187.32
2013		Jun		172.89
2013		Jul		168.17
2013		Aug		188.33
2013		Sep		177.51
2013		Oct		142.69
2013		Nov		119.32
2013		Dec		78.7
2014		Jan		106.03
2014		Feb		115.59
2014		Mar		153.22
2014		Apr		168.08
2014		May		163.55
2014		Jun		186.89
2014		Jul		189.06
2014		Aug		189.91
2014		Sep		175.41
2014		Oct		123.7
2014		Nov		100.16
2014		Dec		68.79
2015		Jan		105.87
2015		Feb		102.86
2015		Mar		152.26
2015		Apr		159.82
2015		May		199.0
2015		Jun		164.71
2015		Jul		190.76
2015		Aug		190.93
2015		Sep		182.09
2015		Oct		138.71
2015		Nov		116.75
2015		Dec		85.67

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021