Latitude (decimal degrees):	14.669
Longitude (decimal degrees):	-17.437
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	16

year		month		H(i_opt)_m
2005		Jan		189.95
2005		Feb		172.95
2005		Mar		230.48
2005		Apr		214.59
2005		May		193.99
2005		Jun		186.41
2005		Jul		173.02
2005		Aug		165.36
2005		Sep		170.88
2005		Oct		186.2
2005		Nov		181.71
2005		Dec		176.73
2006		Jan		192.58
2006		Feb		179.23
2006		Mar		225.84
2006		Apr		220.05
2006		May		209.46
2006		Jun		189.55
2006		Jul		175.24
2006		Aug		178.81
2006		Sep		178.21
2006		Oct		195.51
2006		Nov		205.39
2006		Dec		191.78
2007		Jan		192.99
2007		Feb		188.63
2007		Mar		221.56
2007		Apr		213.56
2007		May		207.29
2007		Jun		183.86
2007		Jul		175.52
2007		Aug		174.66
2007		Sep		180.56
2007		Oct		203.56
2007		Nov		188.37
2007		Dec		194.42
2008		Jan		190.04
2008		Feb		199.44
2008		Mar		228.14
2008		Apr		220.51
2008		May		207.69
2008		Jun		181.44
2008		Jul		164.25
2008		Aug		166.75
2008		Sep		178.24
2008		Oct		189.1
2008		Nov		194.63
2008		Dec		197.39
2009		Jan		199.9
2009		Feb		196.09
2009		Mar		225.63
2009		Apr		219.87
2009		May		208.63
2009		Jun		184.54
2009		Jul		179.64
2009		Aug		165.42
2009		Sep		151.74
2009		Oct		200.68
2009		Nov		174.95
2009		Dec		165.44
2010		Jan		198.35
2010		Feb		199.95
2010		Mar		222.48
2010		Apr		214.59
2010		May		201.67
2010		Jun		180.29
2010		Jul		172.49
2010		Aug		173.19
2010		Sep		156.42
2010		Oct		186.82
2010		Nov		197.64
2010		Dec		186.84
2011		Jan		186.1
2011		Feb		196.44
2011		Mar		231.06
2011		Apr		216.81
2011		May		209.49
2011		Jun		177.18
2011		Jul		181.59
2011		Aug		163.72
2011		Sep		180.7
2011		Oct		201.47
2011		Nov		198.32
2011		Dec		186.62
2012		Jan		194.47
2012		Feb		181.26
2012		Mar		220.19
2012		Apr		204.55
2012		May		205.16
2012		Jun		187.23
2012		Jul		178.88
2012		Aug		170.24
2012		Sep		167.19
2012		Oct		200.99
2012		Nov		182.42
2012		Dec		188.89
2013		Jan		188.75
2013		Feb		197.29
2013		Mar		229.63
2013		Apr		219.71
2013		May		209.34
2013		Jun		186.98
2013		Jul		178.09
2013		Aug		148.69
2013		Sep		169.66
2013		Oct		190.9
2013		Nov		165.54
2013		Dec		182.18
2014		Jan		201.04
2014		Feb		204.97
2014		Mar		224.73
2014		Apr		220.9
2014		May		207.29
2014		Jun		191.1
2014		Jul		188.54
2014		Aug		171.94
2014		Sep		170.31
2014		Oct		212.16
2014		Nov		194.68
2014		Dec		177.94
2015		Jan		165.22
2015		Feb		184.3
2015		Mar		224.25
2015		Apr		218.04
2015		May		207.36
2015		Jun		188.21
2015		Jul		175.17
2015		Aug		159.21
2015		Sep		170.95
2015		Oct		180.36
2015		Nov		175.46
2015		Dec		174.87
2016		Jan		215.81
2016		Feb		186.37
2016		Mar		216.7
2016		Apr		215.06
2016		May		207.67
2016		Jun		188.89
2016		Jul		172.19
2016		Aug		173.62
2016		Sep		167.28
2016		Oct		207.94
2016		Nov		169.79
2016		Dec		190.15

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021