Latitude (decimal degrees):	51.506
Longitude (decimal degrees):	-0.127
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	39

year		month		H(i_opt)_m
2005		Jan		47.47
2005		Feb		44.3
2005		Mar		78.51
2005		Apr		125.46
2005		May		144.04
2005		Jun		160.08
2005		Jul		137.37
2005		Aug		155.67
2005		Sep		117.44
2005		Oct		82.76
2005		Nov		71.61
2005		Dec		42.57
2006		Jan		34.32
2006		Feb		45.15
2006		Mar		90.91
2006		Apr		111.07
2006		May		124.05
2006		Jun		177.54
2006		Jul		188.15
2006		Aug		122.36
2006		Sep		126.35
2006		Oct		78.8
2006		Nov		73.02
2006		Dec		33.93
2007		Jan		47.37
2007		Feb		55.7
2007		Mar		129.36
2007		Apr		173.76
2007		May		125.35
2007		Jun		139.67
2007		Jul		150.71
2007		Aug		130.54
2007		Sep		120.6
2007		Oct		76.76
2007		Nov		65.47
2007		Dec		49.26
2008		Jan		44.53
2008		Feb		93.11
2008		Mar		89.54
2008		Apr		122.35
2008		May		144.0
2008		Jun		153.24
2008		Jul		148.71
2008		Aug		109.04
2008		Sep		103.44
2008		Oct		98.21
2008		Nov		39.07
2008		Dec		50.2
2009		Jan		52.46
2009		Feb		49.91
2009		Mar		121.89
2009		Apr		134.42
2009		May		157.09
2009		Jun		155.34
2009		Jul		153.79
2009		Aug		144.97
2009		Sep		123.32
2009		Oct		77.67
2009		Nov		54.97
2009		Dec		48.6
2010		Jan		43.35
2010		Feb		46.64
2010		Mar		102.97
2010		Apr		160.23
2010		May		138.27
2010		Jun		159.28
2010		Jul		155.89
2010		Aug		115.92
2010		Sep		110.92
2010		Oct		83.44
2010		Nov		51.33
2010		Dec		31.36
2011		Jan		38.72
2011		Feb		43.65
2011		Mar		109.14
2011		Apr		169.57
2011		May		170.74
2011		Jun		149.06
2011		Jul		154.34
2011		Aug		126.3
2011		Sep		124.42
2011		Oct		105.14
2011		Nov		55.18
2011		Dec		46.3
2012		Jan		51.68
2012		Feb		70.99
2012		Mar		131.5
2012		Apr		118.51
2012		May		133.47
2012		Jun		127.71
2012		Jul		136.51
2012		Aug		141.25
2012		Sep		126.86
2012		Oct		73.75
2012		Nov		57.11
2012		Dec		43.1
2013		Jan		34.55
2013		Feb		52.11
2013		Mar		60.8
2013		Apr		128.86
2013		May		125.85
2013		Jun		129.44
2013		Jul		177.97
2013		Aug		157.17
2013		Sep		97.85
2013		Oct		68.71
2013		Nov		53.73
2013		Dec		37.72
2014		Jan		58.11
2014		Feb		68.32
2014		Mar		126.4
2014		Apr		133.31
2014		May		138.61
2014		Jun		160.02
2014		Jul		172.4
2014		Aug		146.12
2014		Sep		116.02
2014		Oct		82.52
2014		Nov		46.38
2014		Dec		56.58
2015		Jan		54.11
2015		Feb		59.11
2015		Mar		113.0
2015		Apr		155.33
2015		May		153.5
2015		Jun		164.7
2015		Jul		145.42
2015		Aug		121.91
2015		Sep		121.93
2015		Oct		79.04
2015		Nov		36.3
2015		Dec		33.96
2016		Jan		42.65
2016		Feb		79.5
2016		Mar		95.28
2016		Apr		132.58
2016		May		161.57
2016		Jun		113.14
2016		Jul		147.66
2016		Aug		152.68
2016		Sep		102.82
2016		Oct		79.19
2016		Nov		58.63
2016		Dec		41.89

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021