Latitude (decimal degrees):	18.940
Longitude (decimal degrees):	72.835
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	25

year		month		H(i_opt)_m
2005		Jan		209.93
2005		Feb		209.1
2005		Mar		235.69
2005		Apr		218.26
2005		May		214.03
2005		Jun		136.29
2005		Jul		126.68
2005		Aug		131.65
2005		Sep		127.16
2005		Oct		206.94
2005		Nov		204.29
2005		Dec		202.12
2006		Jan		215.33
2006		Feb		208.88
2006		Mar		228.88
2006		Apr		221.18
2006		May		200.11
2006		Jun		151.86
2006		Jul		119.79
2006		Aug		118.7
2006		Sep		156.73
2006		Oct		202.62
2006		Nov		196.66
2006		Dec		207.08
2007		Jan		212.82
2007		Feb		202.44
2007		Mar		236.87
2007		Apr		218.89
2007		May		210.68
2007		Jun		137.54
2007		Jul		121.78
2007		Aug		121.22
2007		Sep		146.29
2007		Oct		203.71
2007		Nov		203.47
2007		Dec		199.83
2008		Jan		216.06
2008		Feb		218.07
2008		Mar		233.72
2008		Apr		220.07
2008		May		213.2
2008		Jun		123.26
2008		Jul		132.93
2008		Aug		125.66
2008		Sep		150.93
2008		Oct		214.99
2008		Nov		191.74
2008		Dec		191.87
2009		Jan		210.4
2009		Feb		210.97
2009		Mar		236.06
2009		Apr		215.24
2009		May		207.69
2009		Jun		160.08
2009		Jul		107.32
2009		Aug		151.53
2009		Sep		153.34
2009		Oct		183.82
2009		Nov		181.4
2009		Dec		203.1
2010		Jan		209.21
2010		Feb		199.4
2010		Mar		231.86
2010		Apr		208.9
2010		May		208.19
2010		Jun		128.12
2010		Jul		110.14
2010		Aug		116.09
2010		Sep		164.73
2010		Oct		189.34
2010		Nov		170.98
2010		Dec		204.51
2011		Jan		217.93
2011		Feb		207.36
2011		Mar		238.28
2011		Apr		219.14
2011		May		199.82
2011		Jun		124.16
2011		Jul		102.15
2011		Aug		114.27
2011		Sep		147.7
2011		Oct		195.47
2011		Nov		200.8
2011		Dec		210.04
2012		Jan		216.57
2012		Feb		220.05
2012		Mar		242.63
2012		Apr		213.46
2012		May		211.9
2012		Jun		157.23
2012		Jul		126.54
2012		Aug		131.49
2012		Sep		160.8
2012		Oct		192.34
2012		Nov		205.15
2012		Dec		207.12
2013		Jan		217.39
2013		Feb		205.54
2013		Mar		234.68
2013		Apr		220.08
2013		May		207.69
2013		Jun		114.6
2013		Jul		97.43
2013		Aug		147.03
2013		Sep		154.51
2013		Oct		199.01
2013		Nov		205.96
2013		Dec		205.55
2014		Jan		207.21
2014		Feb		201.42
2014		Mar		235.24
2014		Apr		214.95
2014		May		204.77
2014		Jun		170.35
2014		Jul		109.04
2014		Aug		139.73
2014		Sep		157.91
2014		Oct		194.44
2014		Nov		193.96
2014		Dec		205.75
2015		Jan		212.73
2015		Feb		202.18
2015		Mar		227.38
2015		Apr		218.28
2015		May		207.76
2015		Jun		129.23
2015		Jul		141.08
2015		Aug		145.55
2015		Sep		176.0
2015		Oct		201.38
2015		Nov		193.29
2015		Dec		206.58
2016		Jan		214.16
2016		Feb		208.59
2016		Mar		231.99
2016		Apr		215.65
2016		May		206.94
2016		Jun		150.66
2016		Jul		99.11
2016		Aug		127.93
2016		Sep		134.65
2016		Oct		187.85
2016		Nov		208.29
2016		Dec		208.54

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021