Latitude (decimal degrees):	40.715
Longitude (decimal degrees):	-74.007
Radiation database:	PVGIS-NSRDB
Optimal slope angle (deg.):	34

year		month		H(i_opt)_m
2005		Jan		79.5
2005		Feb		108.0
2005		Mar		142.33
2005		Apr		166.12
2005		May		175.67
2005		Jun		177.65
2005		Jul		177.62
2005		Aug		165.57
2005		Sep		176.39
2005		Oct		105.12
2005		Nov		108.29
2005		Dec		90.81
2006		Jan		88.99
2006		Feb		122.04
2006		Mar		171.73
2006		Apr		171.94
2006		May		171.42
2006		Jun		151.78
2006		Jul		177.47
2006		Aug		170.25
2006		Sep		138.25
2006		Oct		132.52
2006		Nov		91.44
2006		Dec		89.24
2007		Jan		91.17
2007		Feb		124.43
2007		Mar		145.07
2007		Apr		134.44
2007		May		202.89
2007		Jun		174.38
2007		Jul		185.17
2007		Aug		165.37
2007		Sep		181.03
2007		Oct		125.64
2007		Nov		82.5
2007		Dec		61.3
2008		Jan		101.3
2008		Feb		93.14
2008		Mar		139.95
2008		Apr		161.64
2008		May		164.71
2008		Jun		173.86
2008		Jul		179.18
2008		Aug		191.66
2008		Sep		151.57
2008		Oct		145.75
2008		Nov		81.64
2008		Dec		78.69
2009		Jan		100.48
2009		Feb		117.88
2009		Mar		137.65
2009		Apr		141.91
2009		May		150.03
2009		Jun		128.5
2009		Jul		178.6
2009		Aug		163.11
2009		Sep		144.4
2009		Oct		105.8
2009		Nov		86.27
2009		Dec		84.94
2010		Jan		101.74
2010		Feb		86.46
2010		Mar		125.14
2010		Apr		171.02
2010		May		177.66
2010		Jun		171.86
2010		Jul		186.85
2010		Aug		161.82
2010		Sep		155.09
2010		Oct		124.15
2010		Nov		106.5
2010		Dec		81.45
2011		Jan		71.0
2011		Feb		92.51
2011		Mar		143.95
2011		Apr		124.14
2011		May		157.46
2011		Jun		168.47
2011		Jul		188.94
2011		Aug		171.52
2011		Sep		125.01
2011		Oct		123.43
2011		Nov		106.1
2011		Dec		89.2
2012		Jan		98.67
2012		Feb		111.7
2012		Mar		151.76
2012		Apr		177.15
2012		May		155.32
2012		Jun		166.46
2012		Jul		179.33
2012		Aug		174.99
2012		Sep		94.49
2012		Oct		99.42
2012		Nov		99.83
2012		Dec		69.94
2013		Jan		87.47
2013		Feb		87.34
2013		Mar		121.36
2013		Apr		170.14
2013		May		178.54
2013		Jun		172.37
2013		Jul		166.33
2013		Aug		164.02
2013		Sep		174.99
2013		Oct		128.24
2013		Nov		93.72
2013		Dec		63.35
2014		Jan		80.99
2014		Feb		96.23
2014		Mar		129.75
2014		Apr		166.58
2014		May		154.08
2014		Jun		178.8
2014		Jul		180.14
2014		Aug		176.39
2014		Sep		154.61
2014		Oct		115.38
2014		Nov		83.89
2014		Dec		61.71
2015		Jan		93.51
2015		Feb		101.17
2015		Mar		128.53
2015		Apr		150.98
2015		May		179.73
2015		Jun		153.57
2015		Jul		181.68
2015		Aug		199.29
2015		Sep		163.85
2015		Oct		134.11
2015		Nov		101.36
2015		Dec		67.23

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021