Latitude (decimal degrees):	59.912
Longitude (decimal degrees):	10.750
Radiation database:	PVGIS-SARAH
Optimal slope angle (deg.):	44

year		month		H(i_opt)_m
2005		Jan		14.32
2005		Feb		39.84
2005		Mar		96.42
2005		Apr		157.7
2005		May		144.57
2005		Jun		165.32
2005		Jul		155.57
2005		Aug		140.06
2005		Sep		104.69
2005		Oct		64.46
2005		Nov		29.55
2005		Dec		12.86
2006		Jan		16.84
2006		Feb		40.67
2006		Mar		102.46
2006		Apr		90.7
2006		May		159.48
2006		Jun		184.81
2006		Jul		194.65
2006		Aug		130.58
2006		Sep		109.44
2006		Oct		39.81
2006		Nov		39.9
2006		Dec		9.39
2007		Jan		19.74
2007		Feb		22.43
2007		Mar		107.32
2007		Apr		152.03
2007		May		146.42
2007		Jun		168.91
2007		Jul		120.46
2007		Aug		139.46
2007		Sep		113.51
2007		Oct		84.25
2007		Nov		35.71
2007		Dec		10.86
2008		Jan		16.88
2008		Feb		50.52
2008		Mar		90.38
2008		Apr		107.2
2008		May		179.07
2008		Jun		173.36
2008		Jul		182.2
2008		Aug		109.29
2008		Sep		77.58
2008		Oct		70.16
2008		Nov		34.66
2008		Dec		10.67
2009		Jan		11.93
2009		Feb		38.17
2009		Mar		77.55
2009		Apr		133.7
2009		May		170.61
2009		Jun		181.76
2009		Jul		129.11
2009		Aug		141.57
2009		Sep		121.87
2009		Oct		85.35
2009		Nov		13.06
2009		Dec		10.03
2010		Jan		32.48
2010		Feb		52.87
2010		Mar		99.28
2010		Apr		137.82
2010		May		157.09
2010		Jun		178.65
2010		Jul		146.86
2010		Aug		121.79
2010		Sep		128.55
2010		Oct		75.1
2010		Nov		36.31
2010		Dec		23.76
2011		Jan		29.91
2011		Feb		46.2
2011		Mar		104.9
2011		Apr		163.69
2011		May		164.88
2011		Jun		141.08
2011		Jul		139.06
2011		Aug		125.88
2011		Sep		99.08
2011		Oct		65.49
2011		Nov		24.44
2011		Dec		18.42
2012		Jan		18.15
2012		Feb		40.6
2012		Mar		127.71
2012		Apr		108.18
2012		May		176.62
2012		Jun		134.93
2012		Jul		130.62
2012		Aug		137.31
2012		Sep		112.92
2012		Oct		58.62
2012		Nov		16.62
2012		Dec		18.9
2013		Jan		20.13
2013		Feb		37.83
2013		Mar		135.98
2013		Apr		131.74
2013		May		117.2
2013		Jun		137.18
2013		Jul		172.58
2013		Aug		147.88
2013		Sep		109.75
2013		Oct		64.52
2013		Nov		35.84
2013		Dec		13.22
2014		Jan		11.63
2014		Feb		17.39
2014		Mar		93.09
2014		Apr		144.33
2014		May		160.34
2014		Jun		170.57
2014		Jul		177.76
2014		Aug		138.96
2014		Sep		132.86
2014		Oct		47.95
2014		Nov		11.77
2014		Dec		15.09
2015		Jan		14.53
2015		Feb		29.74
2015		Mar		103.49
2015		Apr		146.99
2015		May		132.4
2015		Jun		170.95
2015		Jul		162.81
2015		Aug		160.25
2015		Sep		102.19
2015		Oct		74.77
2015		Nov		31.04
2015		Dec		10.97
2016		Jan		15.93
2016		Feb		69.19
2016		Mar		83.2
2016		Apr		119.82
2016		May		170.13
2016		Jun		175.81
2016		Jul		160.91
2016		Aug		131.5
2016		Sep		126.86
2016		Oct		63.77
2016		Nov		25.3
2016		Dec		19.89

H(i_opt)_m: Irradiation on optimally inclined plane (kWh/m2/mo)

PVGIS (c) European Communities, 2001-2021